id,countryOrRegion,holidayName,normalizeHolidayName,isPaidTimeOff,countryRegionCode,date
26952,Portugal,Restauração da Independência,Restauração da Independência,,PT,2021-12-01
26953,Norway,Søndag,Søndag,,NO,2021-12-05
26954,Sweden,Söndag,Söndag,,SE,2021-12-05
26955,Finland,Itsenäisyyspäivä,Itsenäisyyspäivä,,FI,2021-12-06
26956,Spain,Día de la constitución Española,Día de la constitución Española,,ES,2021-12-06
26957,Argentina,La Inmaculada Concepción [Immaculate Conception],La Inmaculada Concepción [Immaculate Conception],,AR,2021-12-08
26958,Austria,Mariä Empfängnis,Mariä Empfängnis,,AT,2021-12-08
26959,Colombia,La Inmaculada Concepción [Immaculate Conception],La Inmaculada Concepción [Immaculate Conception],,CO,2021-12-08
26960,Italy,Immacolata Concezione,Immacolata Concezione,,IT,2021-12-08
26961,Portugal,Imaculada Conceição,Imaculada Conceição,,PT,2021-12-08
26962,Spain,La Inmaculada Concepción,La Inmaculada Concepción,,ES,2021-12-08
26963,Norway,Søndag,Søndag,,NO,2021-12-12
26964,Sweden,Söndag,Söndag,,SE,2021-12-12
26965,South Africa,Day of Reconciliation,Day of Reconciliation,,ZA,2021-12-16
26966,Norway,Søndag,Søndag,,NO,2021-12-19
26967,Sweden,Söndag,Söndag,,SE,2021-12-19
26968,Canada,Christmas Day (Observed),Christmas Day,,CA,2021-12-24
26969,Czech,Štědrý den,Štědrý den,,CZ,2021-12-24
26970,Finland,Jouluaatto,Jouluaatto,,FI,2021-12-24
26971,Hungary,Szenteste,Szenteste,,HU,2021-12-24
26972,Mexico,Transmisión del Poder Ejecutivo Federal [Change of Federal Government] (Observed),Transmisión del Poder Ejecutivo Federal [Change of Federal Government],,MX,2021-12-24
26973,Sweden,Julafton,Julafton,,SE,2021-12-24
26974,United States,Christmas Day (Observed),Christmas Day,True,US,2021-12-24
26975,Argentina,Navidad [Christmas],Navidad [Christmas],,AR,2021-12-25
26976,Australia,Christmas Day,Christmas Day,,AU,2021-12-25
26977,Austria,Christtag,Christtag,,AT,2021-12-25
26978,Belarus,Рождество Христово (католическое Рождество),Рождество Христово (католическое Рождество),,BY,2021-12-25
26979,Belgium,Kerstmis,Kerstmis,,BE,2021-12-25
26980,Brazil,Natal,Natal,,BR,2021-12-25
26981,Canada,Christmas Day,Christmas Day,,CA,2021-12-25
26982,Colombia,Navidad [Christmas],Navidad [Christmas],,CO,2021-12-25
26983,Croatia,Božić,Božić,,HR,2021-12-25
26984,Czech,1. svátek vánoční,1. svátek vánoční,,CZ,2021-12-25
26985,Denmark,Juledag,Juledag,,DK,2021-12-25
26986,England,Christmas Day,Christmas Day,,,2021-12-25
26987,Finland,Joulupäivä,Joulupäivä,,FI,2021-12-25
26988,France,Noël,Noël,,FR,2021-12-25
26989,Germany,Erster Weihnachtstag,Erster Weihnachtstag,,DE,2021-12-25
26990,Hungary,Karácsony,Karácsony,,HU,2021-12-25
26991,India,Christmas,Christmas,False,IN,2021-12-25
26992,Ireland,Christmas Day,Christmas Day,,IE,2021-12-25
26993,Isle of Man,Christmas Day,Christmas Day,,IM,2021-12-25
26994,Italy,Natale,Natale,,IT,2021-12-25
26995,Mexico,Navidad [Christmas],Navidad [Christmas],,MX,2021-12-25
26996,Netherlands,Eerste Kerstdag,Eerste Kerstdag,,NL,2021-12-25
26997,New Zealand,Christmas Day,Christmas Day,,NZ,2021-12-25
26998,Northern Ireland,Christmas Day,Christmas Day,,,2021-12-25
26999,Norway,Første juledag,Første juledag,,NO,2021-12-25
27000,Poland,Boże Narodzenie (pierwszy dzień),Boże Narodzenie (pierwszy dzień),,PL,2021-12-25
27001,Portugal,Dia de Natal,Dia de Natal,,PT,2021-12-25
27002,Scotland,Christmas Day,Christmas Day,,,2021-12-25
27003,Slovenia,Božič,Božič,,SI,2021-12-25
27004,South Africa,Christmas Day,Christmas Day,,ZA,2021-12-25
27005,Spain,Navidad,Navidad,,ES,2021-12-25
27006,Sweden,Juldagen,Juldagen,,SE,2021-12-25
27007,Switzerland,Weihnachten,Weihnachten,,CH,2021-12-25
27008,Ukraine,Різдво Христове (католицьке),Різдво Христове (католицьке),,UA,2021-12-25
27009,United Kingdom,Christmas Day,Christmas Day,True,GB,2021-12-25
27010,United States,Christmas Day,Christmas Day,True,US,2021-12-25
27011,Wales,Christmas Day,Christmas Day,,,2021-12-25
27012,Australia,Boxing Day,Boxing Day,,AU,2021-12-26
27013,Austria,Stefanitag,Stefanitag,,AT,2021-12-26
27014,Croatia,Sveti Stjepan,Sveti Stjepan,,HR,2021-12-26
27015,Czech,2. svátek vánoční,2. svátek vánoční,,CZ,2021-12-26
27016,Denmark,Anden juledag,Anden juledag,,DK,2021-12-26
27017,England,Boxing Day,Boxing Day,,,2021-12-26
27018,Finland,Tapaninpäivä,Tapaninpäivä,,FI,2021-12-26
27019,Germany,Zweiter Weihnachtstag,Zweiter Weihnachtstag,,DE,2021-12-26
27020,Hungary,Karácsony másnapja,Karácsony másnapja,,HU,2021-12-26
27021,Ireland,Boxing Day,Boxing Day,,IE,2021-12-26
27022,Isle of Man,Boxing Day,Boxing Day,,IM,2021-12-26
27023,Italy,Santo Stefano,Santo Stefano,,IT,2021-12-26
27024,Netherlands,Tweede Kerstdag,Tweede Kerstdag,,NL,2021-12-26
27025,New Zealand,Boxing Day,Boxing Day,,NZ,2021-12-26
27026,Northern Ireland,Boxing Day,Boxing Day,,,2021-12-26
27027,Norway,"Andre juledag, Søndag","Andre juledag, Søndag",,NO,2021-12-26
27028,Poland,Boże Narodzenie (drugi dzień),Boże Narodzenie (drugi dzień),,PL,2021-12-26
27029,Scotland,Boxing Day,Boxing Day,,,2021-12-26
27030,Slovenia,dan samostojnosti in enotnosti,dan samostojnosti in enotnosti,,SI,2021-12-26
27031,South Africa,Day of Goodwill,Day of Goodwill,,ZA,2021-12-26
